"CUST_ID","CUST_FIRSTNAME","CUST_LASTNAME","CUST_PHNO","CUST_ADDRESS","CUST_CARDNO","CUST_EMAIL","CUST_PASSWORD","AGE"
"85","Tyra","Shields","2152551641","3 Fort Worth Ave","9079149482","tyra@gmail.com","shields","49"
"86","Annabelle","Boord","9786976263","523 Marquette Ave","4157129530","annabelle@gmail.com","boord","56"
"87","Nelida","Sawchuk","2019711638","3 State Route 35 S","4157676596","nelida@gmail.com","sawchuk","21"
"88","Marguerita","Hiatt","9256357158","82 N Highway 67","4087585015","marguerita@gmail.com","hiatt","30"
"89","Carmela","Cookey","7734944195","9 Murfreesboro Rd","7732979391","carmela@gmail.com","cookey","33"
"90","Claribel","Varriano","4195444900","6 Harry L Dr #6327","4195732033","claribel@gmail.com","varriano","43"
"92","Aliza","Baltimore","4085043552","1128 Delaware St","8503308079","aliza@gmail.com","baltimore",""
"93","Mozell","Pelkowski","6509471215","577 Parade St","6509601069","mozell@gmail.com","pelkowski",""
"94","Franklyn","Emard","2155588189","4379 Highway 116","8188644875","franklyn@gmail.com","emard",""
"95","Beckie","Silvestrini","3372538384","55 Hawthorne Blvd","3135334884","beckie@gmail.com","silvestrini",""
"97","Rima","Bevelacqua","3108585079","2972 Lafayette Ave","6104763501","rima@gmail.com","bevelacqua",""
"98","Avery","Steier","7076538214","2140 Diamond Blvd","7604654762","avery@gmail.com","steier",""
"99","Virgina","Tegarden","4142148697","755 Harbor Way","5088379230","virgina@gmail.com","tegarden",""
"100","Ceola","Setter","2076277565","9 N 14th St","8138636467","ceola@gmail.com","setter",""
"101","Jade","Farrar","7073001771","944 Gaither Dr","4257003751","jade@gmail.com","farrar",""
